"Área de Proteção Ambiental","E-mail","Telefone","Endereço da Sede","Município","Documentos Legais","Atualização","Correspondência CNUC","nome_uc","Nome.da.UC","Área de Proteção Ambiental Marinha","Área de Relevante Interesse Ecológico","Estação Ecológica","Estação Experimental","Floresta Estadual","Monumento Natural Estadual","Parque Estadual","Endereço da sede","Reserva de Desenvolvimento Sustentável","Reserva Extrativista","Nº","RPPN","MUNICÍPIO","RESOLUÇÃO DE CRIAÇÃO","ÁREA EM HECTARES","APROVAÇÃO PLANO DE MANEJO","Refúgio da Vida Silvestre"
NA,"pe.prelado@fflorestal.sp.gov.br","13 3841-2193",NA,"Iguape","Lei nº 14.982","10/04/2024","ok","Parque Estadual Prelado","PARQUE ESTADUAL PRELADO",NA,NA,NA,NA,NA,NA,"Prelado","Praça Engenheiro Greenhalgh, 110 – Centro – CEP: 11920-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.restingabertioga@fflorestal.sp.gov.br","13 3317-2094",NA,"Bertioga","Decreto Estadual nº 26.891","08/05/2024","ok","Parque Estadual Restinga de Bertioga","PARQUE ESTADUAL RESTINGA DE BERTIOGA",NA,NA,NA,NA,NA,NA,"Restinga de Bertioga","Avenida Henrique Costabile, 114",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.riodopeixe@fflorestal.sp.gov.br","18 3841 3419 – Ramal 213
 18 99712 2650",NA,"Escritório de Apoio:Junqueirópolis","Decreto Estadual nº 47.095","08/05/2024","nome cnuc:PARQUE ESTADUAL DO RIO PEIXE","Parque Estadual Rio do Peixe","PARQUE ESTADUAL RIO DO PEIXE",NA,NA,NA,NA,NA,NA,"Rio do Peixe","Escritório de Apoio: 7 de Setembro, nº 1237, Centro, CEP: 17890-000
 Sede Administrativa:
 Rodovia General Euclides de Oliveira Figueiredo (SP-563), km 111",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.rioturvo@fflorestal.sp.gov.br","13 2130-4119
 13 99611-6685",NA,"Registro","Lei Estadual nº 12.810","10/04/2024","ok","Parque Estadual Rio Turvo","PARQUE ESTADUAL RIO TURVO",NA,NA,NA,NA,NA,NA,"Rio Turvo","Avenida Wild José de Souza – 456 – Centro – CEP: 11.900-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.rioturvo@fflorestal.sp.gov.br","13 2130-4117",NA,"Cajati","Lei Estadual nº 12.810","10/04/2024","parte do PE RIO TURVO","Parque Estadual Rio Turvo – Núcleo Capelinha","PARQUE ESTADUAL RIO TURVO – NÚCLEO CAPELINHA",NA,NA,NA,NA,NA,NA,"Rio Turvo – Núcleo Capelinha","Rodovia Régis Bittencourt – BR 116 – KM511 + 640M – pista sul + 5km estrada municipal do bairro Capelinha – CEP: 11.950-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.rioturvo@fflorestal.sp.gov.br","13 2130-4117",NA,"Barra do Turvo","Lei Estadual nº 12.810","10/04/2024","parte do PE RIO TURVO","Parque Estadual Rio Turvo – Núcleo Cedro","PARQUE ESTADUAL RIO TURVO – NÚCLEO CEDRO",NA,NA,NA,NA,NA,NA,"Rio Turvo – Núcleo Cedro","Rodovia Régis Bittencourt – BR 116 – KM543 – pista norte – CEP: 11.955-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.caminhosdomar@fflorestal.sp.gov.br","–",NA,"São Bernardo do Campo","Decreto Estadual nº 22.717","10/05/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Caminhos do Mar","PARQUE ESTADUAL SERRA DO MAR – CAMINHOS DO MAR",NA,NA,NA,NA,NA,NA,"Serra do Mar – Caminhos do Mar","Rodovia SP-148 – Caminhos do Mar, km 42 – CEP 09834-010",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.bertioga@fflorestal.sp.gov.br","13 33172094",NA,"Bertioga","Decreto Estadual nº 22.717","11/04/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Bertioga","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO BERTIOGA",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Bertioga","Avenida Henrique Costábila, 114",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.caragua@fflorestal.sp.gov.br","12 3882-5999",NA,"–","Decreto Estadual nº 22.717","10/05/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Caraguatatuba","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO CARAGUATATUBA",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Caraguatatuba","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.cunha@fflorestal.sp.gov.br","12 99751 – 8206 / 12 99723 – 6456",NA,"Cunha","Decreto Estadual nº 22.717","26/03/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Cunha","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO CUNHA",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Cunha","Estrada Municipal do Bairro da Paraibuna, km 20",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.curucutu@fflorestal.sp.gov.br","13 3422-5657",NA,"São Paulo","Decreto Estadual nº 22.717","10/04/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Curucutu","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO CURUCUTU",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Curucutu","Estrada da Bela Vista, 7090, Embura do Alto – CEP 04891-365",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.itariru@fflorestal.sp.gov.br","13 3419-2792",NA,"Pedro de Toledo","Decreto Estadual nº 22.717","26/04/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Itariru","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO ITARIRU",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Itariru","Estrada do Caracol, nº 410 – Caracol – Pedro de Toledo/SP
 CEP: 11790-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.itutingapiloes@fflorestal.sp.gov.br","17 99710-9426",NA,"Cubatão – SP","Decreto Estadual nº 22.717
 Shapefile da unidade
 Plano de manejo","04/03/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Itutinga Pilões","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO ITUTINGA PILÕES",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Itutinga Pilões","Estrada Elias Zarzur, s/n – Água Fria",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.padredoria@fflorestal.sp.gov.br","11 4696-0981",NA,"Salesópolis","Decreto Estadual nº 22.717","08/05/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Padre Dória","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO PADRE DÓRIA",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Padre Dória","Rua Alferes José Luiz de Carvalho, 550 – CEP 08970-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.picinguaba@fflorestal.sp.gov.br","12 3832-1397 
 12 3833-6552",NA,"Ubatuba","Decreto Estadual nº 22.717","10/04/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Picinguaba","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO PICINGUABA",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Picinguaba","Rodovia BR-101, km 08, Picinguaba – CEP 11680-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.santavirginia@fflorestal.sp.gov.br","12 3671-9266 /
 12 3671-9159",NA,"São Luís do Paraitinga","Decreto Estadual nº 22.717
 Lista de espécies","18/03/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo Santa Virgínia","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO SANTA VIRGÍNIA",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo Santa Virgínia","Rodovia Oswaldo Cruz, km 78
 Bairro: Alto da Serra
 CEP: 12140-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pesm.saosebastiao@fflorestal.sp.gov.br","12 3863-1707 / 
 12 3863-2520",NA,"São Sebastião","Decreto Estadual nº 22.717","28/03/2024","parte do PE SERRA DO MAR","Parque Estadual Serra do Mar – Núcleo São Sebastião","PARQUE ESTADUAL SERRA DO MAR – NÚCLEO SÃO SEBASTIÃO",NA,NA,NA,NA,NA,NA,"Serra do Mar – Núcleo São Sebastião","Rua Serra do Mar, nº 13 – Juquehy",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"Apiaí","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973","10/04/2024","nome cnuc:PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA","Parque Estadual Turístico do Alto Ribeira","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira","Av. Isidoro Alpheu Santiago, 364 – CEP: 18320-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,NA,"Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Areado","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEOÁREADO",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Areado","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"–","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Bulha D’água","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO BULHA D'ÁGUA",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Bulha D’água","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"–","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Caboclos","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO CABOCLOS",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Caboclos","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"–","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Capinzal","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO CAPINZAL",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Capinzal","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"–","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Casa de Pedra","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO CASA DE PEDRA",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Casa de Pedra","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"–","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Ouro Grosso","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO OURO GROSSO",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Ouro Grosso","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"–","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Santana","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO SANTANA",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Santana","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"petar@fflorestal.sp.gov.br","15 3552-1875",NA,"–","Decreto Estadual nº 32.283 ;
 Lei Estadual nº 5.973",NA,"parte do PE Turístico do Alto do Ribeira","Parque Estadual Turístico do Alto Ribeira – Núcleo Temimina","PARQUE ESTADUAL TURÍSTICO DO ALTO RIBEIRA – NÚCLEO TEMIMINA",NA,NA,NA,NA,NA,NA,"Turístico do Alto Ribeira – Núcleo Temimina","–",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.vassununga@fflorestal.sp.gov.br","19 97163-7206",NA,"Santa Rita do Passa Quatro","Decreto Estadual nº 37.536","28/02/2024","ok","Parque Estadual Vassununga","PARQUE ESTADUAL VASSUNUNGA",NA,NA,NA,NA,NA,NA,"Vassununga","Gleba Capetinga Leste, Rodovia Anhanguera SP 330, km 245, sentido Norte (São Paulo a Ribeirão Preto) – CEP 13670-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pe.xixovajapui@fflorestal.sp.gov.br","13 3567-2190 
 13 3567 1767",NA,"São Vicente","Decreto Estadual nº 37.536","10/04/2024","ok","Parque Estadual Xixova-Japuí","PARQUE ESTADUAL XIXOVA-JAPUÍ",NA,NA,NA,NA,NA,NA,"Xixova-Japuí","Av.Tupiniquins, 1009 – Bairro Japuí – CEP 11325-000",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"wagnergp@fflorestal.sp.gov.br","13 3821-4494",NA,"Registro","Lei Estadual nº 12.810","10/04/2024","ok","Reserva de Desenvolvimento Sustentável Barreiro / Anhemas","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BARREIRO / ANHEMAS",NA,NA,NA,NA,NA,NA,NA,"Av. Clara Gianotti de Souza, 1139 – CEP: 11900-000","Barreiro / Anhemas",NA,NA,NA,NA,NA,NA,NA,NA
NA,"vanessacordeiro@fflorestal.sp.gov.br","13 3457-9243",NA,"Peruíbe","Lei nº 14.982","10/04/2024","ok","Reserva de Desenvolvimento Sustentável Barra do Una","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL BARRA DO UNA",NA,NA,NA,NA,NA,NA,NA,"Estrada do Guaraú Nº 4164, Guaraú – CEP: 11750-000","Barra do Una",NA,NA,NA,NA,NA,NA,NA,NA
NA,"vanessacordeiro@fflorestal.sp.gov.br","13 34579243",NA,"Peruíbe","Lei nº 14.982","10/04/2024","ok","Reserva de Desenvolvimento Sustentável Despraiado","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL DESPRAIADO",NA,NA,NA,NA,NA,NA,NA,"Estrada do Guaraú Nº 4164, Guaraú – CEP: 11750-000","Despraiado",NA,NA,NA,NA,NA,NA,NA,NA
NA,"rdsresex.cananeia@fflorestal.sp.gov.br","13 3821-4494",NA,"Cananéia","Lei Estadual nº 12.810","29/02/2024","ok","Reserva de Desenvolvimento Sustentável Itapanhapima","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL ITAPANHAPIMA",NA,NA,NA,NA,NA,NA,NA,"Wladimir Besnard s/ n° Morro S. João – CEP: 11.990-000","Itapanhapima",NA,NA,NA,NA,NA,NA,NA,NA
NA,"rdsla.pin@gmail.com","13 3821-4494",NA,"Jacupiranga","–","10/04/2024","ok","Reserva de Desenvolvimento Sustentável Lavras","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL LAVRAS",NA,NA,NA,NA,NA,NA,NA,"Rua Bacuri, 201 – Botujuru – CEP: 11940-000","Lavras",NA,NA,NA,NA,NA,NA,NA,NA
NA,"airtonvieira@fflorestal.sp.gov.br","13 3821-4494",NA,"Jacupiranga","Lei Estadual nº 12.810","10/04/2024","ok","Reserva de Desenvolvimento Sustentável Pinheirinhos","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL PINHEIRINHOS",NA,NA,NA,NA,NA,NA,NA,"Rua Bacuri, 201 – Botujuru – CEP: 11940-000","Pinheirinhos",NA,NA,NA,NA,NA,NA,NA,NA
NA,"wagnergp@fflorestal.sp.gov.br","13 3821-4494",NA,"Registro","Lei Estadual nº 12.810","10/04/2024","ok","Reserva de Desenvolvimento Sustentável Quilombos Barra do Turvo","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL QUILOMBOS BARRA DO TURVO",NA,NA,NA,NA,NA,NA,NA,"Av. Clara Gianotti de Souza, 1139 – CEP: 11900-000","Quilombos Barra do Turvo",NA,NA,NA,NA,NA,NA,NA,NA
NA,"rdsresex.cananeia@fflorestal.sp.gov.br","13 3851-1163",NA,"Cananéia","Lei Estadual nº 12.810","29/02/2024","ok","Reserva Extrativista Ilha do Tumba","RESERVA EXTRATIVISTA ILHA DO TUMBA",NA,NA,NA,NA,NA,NA,NA,"Wladimir Besnard s/ n° Morro S. João – CEP: 11.990-000",NA,"Ilha do Tumba",NA,NA,NA,NA,NA,NA,NA
NA,"rdsresex.cananeia@fflorestal.sp.gov.br","13 3851-1163",NA,"Cananéia","Lei Estadual nº 12.810","29/02/2024","ok","Reserva Extrativista Taquari","RESERVA EXTRATIVISTA TAQUARI",NA,NA,NA,NA,NA,NA,NA,"Wladimir Besnard s/ n° Morro S. João – CEP: 11.990-000",NA,"Taquari",NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Besouro de Fogo","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BESOURO DE FOGO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Besouro de Fogo","São José do Barreiro","40-11/06/2019","36.2181","Portaria FF/DE nº 197/2023",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Botujuru-Serra do Itapety","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL BOTUJURU-SERRA DO ITAPETY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","Botujuru-Serra do Itapety","Mogi das Cruzes","78-30/09/2014","437.3","Portaria FF/DE nº 184/2015",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Cachoeira da Luisa","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CACHOEIRA DA LUISA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","Cachoeira da Luisa","Bananal","13-28/02/2020","17.6518","Portaria FF/DE nº 012/2024",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Candeia","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CANDEIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","Candeia","Bananal","13-27/04/2023","42.754",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Chácara Santa Inêz","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL CHÁCARA SANTA INÊZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","Chácara Santa Inêz","Bananal","33-20/05/2015","5.5017","Portaria FF/DE nº 61/2022",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Copaíba","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL COPAÍBA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","Copaíba","Socorro","18-26/03/2019","2.31",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Duas Cachoeiras","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DUAS CACHOEIRAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","Duas Cachoeiras","Amparo","49-08/06/2010","6.3",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Fazenda Mata Nativa","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA MATA NATIVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","Fazenda Mata Nativa","Iguape","116-22/10/2021","291.8106",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Fazenda Renópolis","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FAZENDA RENÓPOLIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","Fazenda Renópolis","Santo Antônio do Pinhal","24-06/06/2011","83.18","Portaria FF/DE nº 27/2018",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Floresta das Águas Perenes","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA DAS ÁGUAS PERENES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","Floresta das Águas Perenes","Brotas e Ribeirão Bonito","76-27/12/2011","793.7763",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Floresta Maria Helena","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FLORESTA MARIA HELENA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","Floresta Maria Helena","Cerqueira César","46-13/08/2023
 46-27/04/2024","29.9991",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Fruta do Lobo","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FRUTA DO LOBO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","Fruta do Lobo","Bananal","03-03/01/2025","30.2201",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Gigante do Itaguaré","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GIGANTE DO ITAGUARÉ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","Gigante do Itaguaré","Cruzeiro","52-10/05/2018","358.6449","Portaria FF/DE nº 295/2023",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Guainumbi","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL GUAINUMBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","Guainumbi","São Luis do Paraitinga","79-03/11/2015","38.8356",NA,NA
NA,NA,NA,NA,NA,NA,NA,"não","RPPN Hercules Florence 1 e 2","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL HERCULES FLORENCE 1 E 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","Hercules Florence 1 e 2","Bertioga","42-11/06/2019","493.0006",NA,NA
NA,NA,NA,NA,NA,NA,NA,"não","RPPN Hercules Florence 3, 4, 5, e 6","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL HERCULES FLORENCE 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","Hercules Florence 3, 4, 5, e 6","Bertioga","39-05/06/2012","213.3106",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Jacarandás","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JACARANDÁS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17","Jacarandás","Nazaré Paulista","134-09/12/2021","9.787",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Jaguaretê","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL JAGUARETÊ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","Jaguaretê","Bananal","15-28/02/2020","6.0345",NA,NA
NA,NA,NA,NA,NA,NA,NA,"nome cnuc: RPPN SITIO KON TIKI","RPPN Kon Tiki","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL KON TIKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","Kon Tiki","Santa Rita Passa Quatro","75-27/12/2011","9.2962",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Marina do Conde","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MARINA DO CONDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","Marina do Conde","Guarujá","23-29/04/2009
 13-15/02/2013","7.62",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Mata do Roque","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA DO ROQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","Mata do Roque","Pirassununga","25-28/03/2022","7.1567",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Mata Virgem","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MATA VIRGEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","Mata Virgem","São Paulo","97-25/10/2022","1.48",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Mosquito","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL MOSQUITO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23","Mosquito","Narandiba","70-23/09/2008","2.195.8900",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Nardini Sempre Verde","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL NARDINI SEMPRE VERDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","Nardini Sempre Verde","Monte Alto","24-09/03/2024","14.0315",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN O Primata","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL O PRIMATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","O Primata","São José dos Campos","05-01/02/2011","352.918",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Olho d’Água","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL OLHO D'ÁGUA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","Olho d’Água","Bananal","14-28/02/2020","19.9027",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Paraíso","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARAÍSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","Paraíso","Mairiporã","27-24/04/2008","3.54",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Paraíso","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARAÍSO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","Paraíso","São João da Boa Vista e Santo Antonio do Jardim","12-10/02/2021","429.2191",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Parque do Zizo","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE DO ZIZO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","Parque do Zizo","Tapiraí","46-05/06/2013","9.2139",NA,NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Pedra da Mina","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PEDRA DA MINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","Pedra da Mina","Queluz","60-17/07/2013","632.82","Portaria FF/DE nº 79/2020",NA
NA,NA,NA,NA,NA,NA,NA,"ok","RPPN Porto do Ifé","RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PORTO DO IFÉ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","Porto do Ifé","Colômbia","66-05/06/2018","54.08","Portaria FF/DE nº 284/2022",NA
